,stop_id,stop_lat,stop_lon,Number of Stops,City,State
1274,3661.0,41.471646,-81.60295699999999,14,,
1542,4210.0,41.494027,-81.6335,14,,
1290,3680.0,41.47357,-81.602933,14,,
1762,4903.0,41.527063,-81.51972099999999,14,,
1523,4178.0,41.496587,-81.63351899999999,14,,
1546,4216.0,41.516068,-81.63366500000001,14,,
1259,3643.0,41.451297,-81.602587,14,,
1763,4905.0,41.523228,-81.519405,14,,
1549,4219.0,41.488387,-81.633448,14,,
1276,3664.0,41.478266,-81.60295699999999,14,,
1277,3665.0,41.449263,-81.602787,14,,
1765,4907.0,41.528595,-81.519849,14,,
1550,4220.0,41.485809,-81.63306,14,,
4742,11571.0,41.541527,-81.530387,14,,
1278,3666.0,41.449335,-81.602921,14,,
4003,9693.0,41.477146999999995,-81.63278100000001,14,,
1544,4212.0,41.519694,-81.633677,14,,
1289,3679.0,41.473496000000004,-81.60284200000001,14,,
1527,4182.0,41.513705,-81.63362099999999,14,,
3974,9644.0,41.479763,-81.60294499999999,14,,
246,800.0,41.492913,-81.601739,14,,
1534,4195.0,41.482414,-81.63302900000001,14,,
5735,14914.0,41.508201,-81.519378,14,,
4002,9692.0,41.479686,-81.632824,14,,
1751,4882.0,41.531552000000005,-81.520048,14,,
1267,3653.0,41.476279999999996,-81.602953,14,,
1533,4194.0,41.484324,-81.633048,14,,
1288,3678.0,41.483684999999994,-81.602815,14,,
1268,3654.0,41.455479,-81.602627,14,,
1269,3655.0,41.455385,-81.60291099999999,14,,
449,1699.0,41.47331,-81.63933399999999,14,,
4366,10623.0,41.469288,-81.602836,14,,
1749,4880.0,41.530337,-81.519963,14,,
1536,4197.0,41.509562,-81.633616,14,,
4392,10727.0,41.497673999999996,-81.516958,14,,
468,1754.0,41.472966,-81.63350200000001,14,,
1532,4188.0,41.50423,-81.633585,14,,
